,MaxCurrent,EffCurrent,Time Period,PC screen1,PC screen2,Temperature sensor
39,244.14,172.7,1.07,ON,IDLE,OFF
40,231.93,164.0,1.07,ON,IDLE,OFF
41,244.14,172.7,1.07,ON,IDLE,OFF
42,231.93,164.0,1.07,IDLE,IDLE,OFF
43,231.93,164.0,1.07,ON,IDLE,OFF
44,244.14,172.7,1.07,ON,IDLE,OFF
45,231.93,164.0,1.07,ON,IDLE,OFF
46,231.93,164.0,1.07,ON,IDLE,OFF
47,231.93,164.0,1.07,ON,IDLE,OFF
48,244.14,172.7,1.07,ON,IDLE,OFF
49,231.93,164.0,1.07,IDLE,OFF,ON
50,231.93,164.0,1.07,ON,IDLE,OFF
51,244.14,172.7,1.07,ON,IDLE,OFF
52,219.73,155.4,1.07,ON,IDLE,OFF
53,231.93,164.0,1.07,ON,IDLE,OFF
54,231.93,164.0,1.07,ON,IDLE,OFF
55,231.93,164.0,1.07,ON,IDLE,OFF
56,244.14,172.7,1.07,IDLE,IDLE,OFF
57,231.93,164.0,1.07,ON,IDLE,OFF
58,244.14,172.7,1.07,ON,IDLE,OFF
59,231.93,164.0,1.07,ON,IDLE,OFF
60,231.93,164.0,1.07,ON,IDLE,OFF
61,231.93,164.0,1.07,ON,IDLE,OFF
62,231.93,164.0,1.07,ON,IDLE,OFF
63,244.14,172.7,1.07,ON,IDLE,OFF
64,244.14,172.7,1.07,ON,IDLE,OFF
65,244.14,172.7,1.07,ON,IDLE,OFF
66,231.93,164.0,1.07,ON,IDLE,OFF
67,231.93,164.0,1.07,ON,IDLE,OFF
68,244.14,172.7,1.07,ON,IDLE,OFF
69,244.14,172.7,1.07,ON,IDLE,OFF
70,231.93,164.0,1.07,ON,IDLE,OFF
71,244.14,172.7,1.07,ON,IDLE,OFF
72,244.14,172.7,1.07,ON,IDLE,OFF
73,231.93,164.0,1.07,ON,IDLE,OFF
74,231.93,164.0,1.07,ON,IDLE,OFF
75,256.35,181.3,1.07,ON,IDLE,OFF
76,231.93,164.0,1.07,IDLE,IDLE,OFF
77,231.93,164.0,1.07,ON,IDLE,OFF
78,231.93,164.0,1.07,ON,IDLE,OFF
79,231.93,164.0,1.07,ON,IDLE,OFF
80,231.93,164.0,1.07,ON,IDLE,OFF
81,231.93,164.0,1.07,ON,IDLE,OFF
82,231.93,164.0,1.07,IDLE,IDLE,OFF
83,231.93,164.0,1.07,ON,IDLE,OFF
84,244.14,172.7,1.07,ON,IDLE,OFF
85,244.14,172.7,1.07,IDLE,IDLE,OFF
86,231.93,164.0,1.07,ON,IDLE,OFF
87,219.73,155.4,1.07,IDLE,IDLE,OFF
88,219.73,155.4,1.07,ON,IDLE,OFF
89,219.73,155.4,1.07,ON,IDLE,OFF
90,244.14,172.7,1.07,ON,IDLE,OFF
91,219.73,155.4,1.07,ON,IDLE,OFF
92,231.93,164.0,1.07,ON,IDLE,OFF
93,219.73,155.4,1.07,ON,IDLE,OFF
94,244.14,172.7,1.07,ON,IDLE,OFF
95,903.32,638.8,1.07,ON,IDLE,OFF
96,268.55,189.9,1.07,ON,IDLE,OFF
97,439.45,310.8,1.07,ON,IDLE,OFF
98,292.97,207.2,1.07,IDLE,IDLE,OFF
99,427.25,302.2,1.07,ON,IDLE,OFF
100,439.45,310.8,1.07,ON,IDLE,OFF
101,439.45,310.8,1.07,,,
102,451.66,319.4,1.07,,,
103,451.66,319.4,1.07,,,
104,415.04,293.5,1.07,,,
105,476.07,336.7,1.07,,,
106,463.87,328.1,1.07,,,
107,451.66,319.4,1.07,,,
108,439.45,310.8,1.07,,,
109,451.66,319.4,1.07,,,
110,463.87,328.1,1.07,,,
111,451.66,319.4,1.07,,,
112,451.66,319.4,1.07,,,
113,476.07,336.7,1.07,,,
114,451.66,319.4,1.07,,,
115,439.45,310.8,1.07,,,
116,451.66,319.4,1.07,,,
117,439.45,310.8,1.07,,,
118,451.66,319.4,1.07,,,
119,463.87,328.1,1.07,,,
120,439.45,310.8,1.07,,,
121,451.66,319.4,1.07,,,
122,439.45,310.8,1.07,,,
123,451.66,319.4,1.07,,,
124,463.87,328.1,1.07,,,
125,451.66,319.4,1.07,,,
126,463.87,328.1,1.07,,,
127,451.66,319.4,1.07,,,
128,463.87,328.1,1.07,,,
129,439.45,310.8,1.07,,,
130,463.87,328.1,1.07,,,
131,463.87,328.1,1.07,,,
132,463.87,328.1,1.07,,,
133,451.66,319.4,1.07,,,
134,451.66,319.4,1.07,,,
135,451.66,319.4,1.07,,,
136,451.66,319.4,1.07,,,
137,451.66,319.4,1.07,,,
138,488.28,345.3,1.07,,,
139,439.45,310.8,1.07,,,
140,463.87,328.1,1.07,,,
141,476.07,336.7,1.07,,,
142,463.87,328.1,1.07,,,
143,451.66,319.4,1.07,,,
144,476.07,336.7,1.07,,,
145,451.66,319.4,1.07,,,
146,463.87,328.1,1.07,,,
147,463.87,328.1,1.07,,,
148,488.28,345.3,1.07,,,
149,463.87,328.1,1.07,,,
150,463.87,328.1,1.07,,,
151,488.28,345.3,1.07,,,
152,463.87,328.1,1.07,,,
153,463.87,328.1,1.07,,,
154,451.66,319.4,1.07,,,
155,463.87,328.1,1.07,,,
156,451.66,319.4,1.07,,,
157,451.66,319.4,1.07,,,
158,451.66,319.4,1.07,,,
159,451.66,319.4,1.07,,,
160,476.07,336.7,1.07,,,
161,463.87,328.1,1.07,,,
162,476.07,336.7,1.07,,,
163,463.87,328.1,1.07,,,
164,463.87,328.1,1.07,,,
165,463.87,328.1,1.07,,,
166,451.66,319.4,1.07,,,
167,451.66,319.4,1.07,,,
168,439.45,310.8,1.07,,,
169,463.87,328.1,1.07,,,
170,463.87,328.1,1.07,,,
171,439.45,310.8,1.07,,,
172,476.07,336.7,1.07,,,
173,488.28,345.3,1.07,,,
174,476.07,336.7,1.07,,,
175,451.66,319.4,1.07,,,
176,439.45,310.8,1.07,,,
177,451.66,319.4,1.07,,,
178,451.66,319.4,1.07,,,
179,451.66,319.4,1.07,,,
180,451.66,319.4,1.07,,,
181,451.66,319.4,1.07,,,
182,451.66,319.4,1.07,,,
183,451.66,319.4,1.07,,,
184,463.87,328.1,1.07,,,
185,451.66,319.4,1.07,,,
186,463.87,328.1,1.07,,,
187,463.87,328.1,1.07,,,
188,476.07,336.7,1.07,,,
189,463.87,328.1,1.07,,,
190,463.87,328.1,1.07,,,
191,476.07,336.7,1.07,,,
192,451.66,319.4,1.07,,,
193,451.66,319.4,1.07,,,
194,463.87,328.1,1.07,,,
195,451.66,319.4,1.07,,,
196,476.07,336.7,1.07,,,
197,488.28,345.3,1.07,,,
198,463.87,328.1,1.07,,,
199,500.49,354.0,1.07,,,
200,463.87,328.1,1.07,,,
201,463.87,328.1,1.07,,,
202,463.87,328.1,1.07,,,
203,476.07,336.7,1.07,,,
204,476.07,336.7,1.07,,,
205,451.66,319.4,1.07,,,
206,488.28,345.3,1.07,,,
207,476.07,336.7,1.07,,,
208,488.28,345.3,1.07,,,
209,463.87,328.1,1.07,,,
210,451.66,319.4,1.07,,,
211,476.07,336.7,1.07,,,
212,463.87,328.1,1.07,,,
213,463.87,328.1,1.07,,,
214,476.07,336.7,1.07,,,
215,390.63,276.3,1.07,,,
216,256.35,181.3,1.07,,,
217,256.35,181.3,1.07,,,
218,256.35,181.3,1.07,,,
219,231.93,164.0,1.07,,,
220,219.73,155.4,1.07,,,
221,244.14,172.7,1.07,,,
222,231.93,164.0,1.07,,,
223,231.93,164.0,1.07,,,
224,231.93,164.0,1.07,,,
225,231.93,164.0,1.07,,,
226,244.14,172.7,1.07,,,
227,231.93,164.0,1.07,,,
228,231.93,164.0,1.07,,,
229,231.93,164.0,1.07,,,
230,231.93,164.0,1.07,,,
231,244.14,172.7,1.07,,,
232,231.93,164.0,1.07,,,
233,256.35,181.3,1.07,,,
234,231.93,164.0,1.07,,,
235,244.14,172.7,1.07,,,
236,256.35,181.3,1.07,,,
237,231.93,164.0,1.07,,,
238,244.14,172.7,1.07,,,
239,244.14,172.7,1.07,,,
240,244.14,172.7,1.07,,,
241,244.14,172.7,1.07,,,
242,244.14,172.7,1.07,,,
243,244.14,172.7,1.07,,,
244,244.14,172.7,1.07,,,
245,244.14,172.7,1.07,,,
246,231.93,164.0,1.07,,,
247,244.14,172.7,1.07,,,
248,256.35,181.3,1.07,,,
249,244.14,172.7,1.07,,,
250,244.14,172.7,1.07,,,
251,244.14,172.7,1.07,,,
252,244.14,172.7,1.07,,,
253,256.35,181.3,1.07,,,
254,244.14,172.7,1.07,,,
255,244.14,172.7,1.07,,,
256,244.14,172.7,1.07,,,
257,244.14,172.7,1.07,,,
258,244.14,172.7,1.07,,,
259,231.93,164.0,1.07,,,
260,231.93,164.0,1.07,,,
261,231.93,164.0,1.07,,,
262,231.93,164.0,1.07,,,
263,244.14,172.7,1.07,,,
264,231.93,164.0,1.07,,,
265,244.14,172.7,1.07,,,
266,256.35,181.3,1.07,,,
267,256.35,181.3,1.07,,,
268,244.14,172.7,1.07,,,
269,244.14,172.7,1.07,,,
270,244.14,172.7,1.07,,,
271,256.35,181.3,1.07,,,
272,256.35,181.3,1.07,,,
273,244.14,172.7,1.07,,,
274,244.14,172.7,1.07,,,
275,244.14,172.7,1.07,,,
276,244.14,172.7,1.07,,,
277,244.14,172.7,1.07,,,
278,244.14,172.7,1.07,,,
279,244.14,172.7,1.07,,,
280,244.14,172.7,1.07,,,
281,244.14,172.7,1.07,,,
282,256.35,181.3,1.07,,,
283,244.14,172.7,1.07,,,
284,244.14,172.7,1.07,,,
285,256.35,181.3,1.07,,,
286,244.14,172.7,1.07,,,
287,256.35,181.3,1.07,,,
288,244.14,172.7,1.07,,,
289,244.14,172.7,1.07,,,
290,244.14,172.7,1.07,,,
291,256.35,181.3,1.07,,,
292,244.14,172.7,1.07,,,
293,244.14,172.7,1.07,,,
294,244.14,172.7,1.07,,,
295,256.35,181.3,1.07,,,
296,256.35,181.3,1.07,,,
297,244.14,172.7,1.07,,,
298,256.35,181.3,1.07,,,
299,268.55,189.9,1.07,,,
300,244.14,172.7,1.07,,,
301,268.55,189.9,1.07,,,
302,268.55,189.9,1.07,,,
303,244.14,172.7,1.07,,,
304,231.93,164.0,1.07,,,
305,244.14,172.7,1.07,,,
306,268.55,189.9,1.07,,,
307,244.14,172.7,1.07,,,
308,256.35,181.3,1.07,,,
309,231.93,164.0,1.07,,,
310,256.35,181.3,1.07,,,
311,244.14,172.7,1.07,,,
312,244.14,172.7,1.07,,,
313,268.55,189.9,1.07,,,
314,231.93,164.0,1.07,,,
315,244.14,172.7,1.07,,,
316,256.35,181.3,1.07,,,
317,231.93,164.0,1.07,,,
318,256.35,181.3,1.07,,,
319,244.14,172.7,1.07,,,
320,244.14,172.7,1.07,,,
321,256.35,181.3,1.07,,,
322,231.93,164.0,1.07,,,
323,256.35,181.3,1.07,,,
324,244.14,172.7,1.07,,,
325,244.14,172.7,1.07,,,
326,256.35,181.3,1.07,,,
327,256.35,181.3,1.07,,,
328,256.35,181.3,1.07,,,
329,244.14,172.7,1.07,,,
330,256.35,181.3,1.07,,,
331,256.35,181.3,1.07,,,
332,256.35,181.3,1.07,,,
333,244.14,172.7,1.07,,,
334,268.55,189.9,1.07,,,
335,256.35,181.3,1.07,,,
336,231.93,164.0,1.07,,,
337,109.86,77.7,1.06,,,
338,158.69,112.2,1.07,,,
339,97.66,69.1,1.06,,,
340,109.86,77.7,1.06,,,
341,109.86,77.7,1.07,,,
342,109.86,77.7,1.07,,,
343,109.86,77.7,1.07,,,
344,109.86,77.7,1.06,,,
345,109.86,77.7,1.07,,,
346,109.86,77.7,1.07,,,
347,97.66,69.1,1.07,,,
348,97.66,69.1,1.07,,,
349,97.66,69.1,1.06,,,
350,97.66,69.1,1.06,,,
351,109.86,77.7,1.07,,,
352,109.86,77.7,1.07,,,
353,109.86,77.7,1.07,,,
354,97.66,69.1,1.06,,,
355,97.66,69.1,1.07,,,
356,109.86,77.7,1.07,,,
357,122.07,86.3,1.07,,,
358,109.86,77.7,1.07,,,
359,109.86,77.7,1.06,,,
360,109.86,77.7,1.07,,,
361,109.86,77.7,1.07,,,
362,109.86,77.7,1.07,,,
363,109.86,77.7,1.07,,,
364,109.86,77.7,1.07,,,
365,97.66,69.1,1.07,,,
366,109.86,77.7,1.07,,,
367,109.86,77.7,1.07,,,
368,109.86,77.7,1.07,,,
369,97.66,69.1,1.06,,,
370,109.86,77.7,1.07,,,
371,109.86,77.7,1.07,,,
372,109.86,77.7,1.07,,,
373,97.66,69.1,1.06,,,
374,109.86,77.7,1.07,,,
375,109.86,77.7,1.07,,,
376,109.86,77.7,1.07,,,
377,97.66,69.1,1.07,,,
378,109.86,77.7,1.07,,,
379,97.66,69.1,1.07,,,
380,109.86,77.7,1.06,,,
381,97.66,69.1,1.07,,,
382,97.66,69.1,1.06,,,
383,109.86,77.7,1.07,,,
384,109.86,77.7,1.07,,,
385,109.86,77.7,1.07,,,
386,97.66,69.1,1.07,,,
387,109.86,77.7,1.07,,,
388,109.86,77.7,1.07,,,
389,97.66,69.1,1.06,,,
390,97.66,69.1,1.07,,,
391,109.86,77.7,1.07,,,
392,109.86,77.7,1.07,,,
393,109.86,77.7,1.07,,,
394,109.86,77.7,1.07,,,
395,97.66,69.1,1.06,,,
396,97.66,69.1,1.06,,,
397,97.66,69.1,1.06,,,
398,97.66,69.1,1.07,,,
399,109.86,77.7,1.07,,,
400,109.86,77.7,1.07,,,
401,97.66,69.1,1.07,,,
402,109.86,77.7,1.06,,,
403,97.66,69.1,1.07,,,
404,97.66,69.1,1.06,,,
405,109.86,77.7,1.07,,,
406,109.86,77.7,1.06,,,
407,109.86,77.7,1.07,,,
408,109.86,77.7,1.07,,,
409,97.66,69.1,1.06,,,
410,97.66,69.1,1.06,,,
411,109.86,77.7,1.07,,,
412,109.86,77.7,1.07,,,
413,109.86,77.7,1.07,,,
414,109.86,77.7,1.07,,,
415,109.86,77.7,1.07,,,
416,109.86,77.7,1.07,,,
417,109.86,77.7,1.07,,,
418,109.86,77.7,1.06,,,
419,109.86,77.7,1.07,,,
420,109.86,77.7,1.07,,,
421,109.86,77.7,1.07,,,
422,97.66,69.1,1.06,,,
423,97.66,69.1,1.06,,,
424,109.86,77.7,1.07,,,
425,109.86,77.7,1.07,,,
426,109.86,77.7,1.06,,,
427,109.86,77.7,1.07,,,
428,109.86,77.7,1.07,,,
429,109.86,77.7,1.07,,,
430,109.86,77.7,1.07,,,
431,109.86,77.7,1.06,,,
432,109.86,77.7,1.07,,,
433,97.66,69.1,1.06,,,
434,97.66,69.1,1.07,,,
435,109.86,77.7,1.07,,,
436,109.86,77.7,1.07,,,
437,109.86,77.7,1.07,,,
438,97.66,69.1,1.06,,,
439,134.28,95.0,1.07,,,
440,109.86,77.7,1.06,,,
441,109.86,77.7,1.07,,,
442,109.86,77.7,1.07,,,
443,97.66,69.1,1.07,,,
444,109.86,77.7,1.07,,,
445,97.66,69.1,1.06,,,
446,109.86,77.7,1.06,,,
447,109.86,77.7,1.07,,,
448,97.66,69.1,1.06,,,
449,109.86,77.7,1.07,,,
450,97.66,69.1,1.06,,,
451,97.66,69.1,1.07,,,
452,97.66,69.1,1.07,,,
453,97.66,69.1,1.06,,,
454,97.66,69.1,1.06,,,
455,109.86,77.7,1.07,,,
456,109.86,77.7,1.07,,,
457,109.86,77.7,1.07,,,
458,109.86,77.7,1.07,,,
459,97.66,69.1,1.06,,,
460,109.86,77.7,1.07,,,
461,97.66,69.1,1.07,,,
462,109.86,77.7,1.07,,,
463,109.86,77.7,1.07,,,
464,109.86,77.7,1.07,,,
465,97.66,69.1,1.07,,,
466,97.66,69.1,1.07,,,
467,109.86,77.7,1.07,,,
468,122.07,86.3,1.07,,,
469,122.07,86.3,1.07,,,
470,122.07,86.3,1.07,,,
471,134.28,95.0,1.07,,,
472,122.07,86.3,1.07,,,
473,134.28,95.0,1.07,,,
474,122.07,86.3,1.07,,,
475,134.28,95.0,1.07,,,
476,122.07,86.3,1.07,,,
477,134.28,95.0,1.07,,,
478,122.07,86.3,1.07,,,
479,122.07,86.3,1.06,,,
480,122.07,86.3,1.07,,,
481,122.07,86.3,1.07,,,
482,122.07,86.3,1.07,,,
483,122.07,86.3,1.07,,,
484,122.07,86.3,1.07,,,
485,122.07,86.3,1.07,,,
486,122.07,86.3,1.07,,,
487,122.07,86.3,1.07,,,
488,109.86,77.7,1.07,,,
489,109.86,77.7,1.06,,,
490,122.07,86.3,1.07,,,
491,109.86,77.7,1.07,,,
492,122.07,86.3,1.07,,,
493,219.73,155.4,1.07,,,
494,463.87,328.1,1.07,,,
495,439.45,310.8,1.07,,,
496,463.87,328.1,1.07,,,
497,231.93,164.0,1.07,,,
498,402.83,284.9,1.07,,,
499,427.25,302.2,1.07,,,
500,427.25,302.2,1.07,,,
501,427.25,302.2,1.07,,,
502,427.25,302.2,1.07,,,
503,439.45,310.8,1.07,,,
504,427.25,302.2,1.07,,,
505,439.45,310.8,1.07,,,
506,439.45,310.8,1.07,,,
507,415.04,293.5,1.07,,,
508,451.66,319.4,1.07,,,
509,463.87,328.1,1.07,,,
510,427.25,302.2,1.07,,,
511,427.25,302.2,1.07,,,
512,427.25,302.2,1.07,,,
513,439.45,310.8,1.07,,,
514,427.25,302.2,1.07,,,
515,439.45,310.8,1.07,,,
516,427.25,302.2,1.07,,,
517,439.45,310.8,1.07,,,
518,415.04,293.5,1.07,,,
519,415.04,293.5,1.07,,,
520,439.45,310.8,1.07,,,
521,427.25,302.2,1.07,,,
522,427.25,302.2,1.07,,,
523,439.45,310.8,1.07,,,
524,439.45,310.8,1.07,,,
525,439.45,310.8,1.07,,,
526,439.45,310.8,1.07,,,
527,427.25,302.2,1.07,,,
528,451.66,319.4,1.07,,,
529,415.04,293.5,1.07,,,
530,427.25,302.2,1.07,,,
531,439.45,310.8,1.07,,,
532,427.25,302.2,1.07,,,
533,427.25,302.2,1.07,,,
534,439.45,310.8,1.07,,,
535,427.25,302.2,1.07,,,
536,439.45,310.8,1.07,,,
537,451.66,319.4,1.07,,,
538,439.45,310.8,1.07,,,
539,439.45,310.8,1.07,,,
540,439.45,310.8,1.07,,,
541,427.25,302.2,1.07,,,
542,427.25,302.2,1.07,,,
543,427.25,302.2,1.07,,,
544,427.25,302.2,1.07,,,
545,427.25,302.2,1.07,,,
546,415.04,293.5,1.07,,,
547,427.25,302.2,1.07,,,
548,427.25,302.2,1.07,,,
549,427.25,302.2,1.07,,,
550,463.87,328.1,1.07,,,
551,439.45,310.8,1.07,,,
552,451.66,319.4,1.07,,,
553,427.25,302.2,1.07,,,
554,451.66,319.4,1.07,,,
555,427.25,302.2,1.07,,,
556,451.66,319.4,1.07,,,
557,439.45,310.8,1.07,,,
558,415.04,293.5,1.07,,,
559,439.45,310.8,1.07,,,
560,427.25,302.2,1.07,,,
561,439.45,310.8,1.07,,,
562,427.25,302.2,1.07,,,
563,427.25,302.2,1.07,,,
564,415.04,293.5,1.07,,,
565,415.04,293.5,1.07,,,
566,439.45,310.8,1.07,,,
567,415.04,293.5,1.07,,,
568,427.25,302.2,1.07,,,
569,439.45,310.8,1.07,,,
570,439.45,310.8,1.07,,,
571,427.25,302.2,1.07,,,
572,427.25,302.2,1.07,,,
573,427.25,302.2,1.07,,,
574,439.45,310.8,1.07,,,
575,427.25,302.2,1.07,,,
576,439.45,310.8,1.07,,,
577,415.04,293.5,1.07,,,
578,427.25,302.2,1.07,,,
579,439.45,310.8,1.07,,,
580,439.45,310.8,1.07,,,
581,439.45,310.8,1.07,,,
582,415.04,293.5,1.07,,,
583,415.04,293.5,1.07,,,
584,415.04,293.5,1.07,,,
585,415.04,293.5,1.07,,,
586,439.45,310.8,1.07,,,
587,427.25,302.2,1.07,,,
588,427.25,302.2,1.07,,,
589,439.45,310.8,1.07,,,
590,415.04,293.5,1.07,,,
591,427.25,302.2,1.07,,,
592,427.25,302.2,1.07,,,
593,439.45,310.8,1.07,,,
594,427.25,302.2,1.07,,,
595,439.45,310.8,1.07,,,
596,427.25,302.2,1.07,,,
597,415.04,293.5,1.07,,,
598,427.25,302.2,1.07,,,
599,427.25,302.2,1.07,,,
600,427.25,302.2,1.07,,,
601,439.45,310.8,1.07,,,
602,476.07,336.7,1.07,,,
603,427.25,302.2,1.07,,,
604,451.66,319.4,1.07,,,
605,476.07,336.7,1.07,,,
606,427.25,302.2,1.07,,,
607,439.45,310.8,1.07,,,
608,439.45,310.8,1.07,,,
609,439.45,310.8,1.07,,,
610,451.66,319.4,1.07,,,
611,439.45,310.8,1.07,,,
612,439.45,310.8,1.07,,,
613,451.66,319.4,1.07,,,
614,415.04,293.5,1.07,,,
615,427.25,302.2,1.07,,,
616,427.25,302.2,1.07,,,
617,427.25,302.2,1.07,,,
618,427.25,302.2,1.07,,,
619,415.04,293.5,1.07,,,
620,439.45,310.8,1.07,,,
621,439.45,310.8,1.07,,,
622,439.45,310.8,1.07,,,
623,427.25,302.2,1.07,,,
624,427.25,302.2,1.07,,,
625,439.45,310.8,1.07,,,
626,451.66,319.4,1.07,,,
627,451.66,319.4,1.07,,,
628,427.25,302.2,1.07,,,
629,439.45,310.8,1.07,,,
630,439.45,310.8,1.07,,,
631,439.45,310.8,1.07,,,
632,427.25,302.2,1.07,,,
633,427.25,302.2,1.07,,,
634,427.25,302.2,1.07,,,
635,439.45,310.8,1.07,,,
636,427.25,302.2,1.07,,,
637,427.25,302.2,1.07,,,
638,439.45,310.8,1.07,,,
639,439.45,310.8,1.07,,,
640,451.66,319.4,1.07,,,
641,439.45,310.8,1.07,,,
642,439.45,310.8,1.07,,,
643,451.66,319.4,1.07,,,
644,439.45,310.8,1.07,,,
645,439.45,310.8,1.07,,,
646,427.25,302.2,1.07,,,
647,439.45,310.8,1.07,,,
648,427.25,302.2,1.07,,,
649,415.04,293.5,1.07,,,
650,427.25,302.2,1.07,,,
651,439.45,310.8,1.07,,,
652,439.45,310.8,1.07,,,
653,451.66,319.4,1.07,,,
654,439.45,310.8,1.07,,,
655,427.25,302.2,1.07,,,
656,427.25,302.2,1.07,,,
657,439.45,310.8,1.07,,,
658,427.25,302.2,1.07,,,
659,427.25,302.2,1.07,,,
660,427.25,302.2,1.07,,,
661,439.45,310.8,1.07,,,
662,451.66,319.4,1.07,,,
663,439.45,310.8,1.07,,,
664,427.25,302.2,1.07,,,
665,427.25,302.2,1.07,,,
666,439.45,310.8,1.07,,,
667,439.45,310.8,1.07,,,
668,427.25,302.2,1.07,,,
669,451.66,319.4,1.07,,,
670,427.25,302.2,1.07,,,
671,439.45,310.8,1.07,,,
672,427.25,302.2,1.07,,,
673,451.66,319.4,1.07,,,
674,439.45,310.8,1.07,,,
675,451.66,319.4,1.07,,,
676,451.66,319.4,1.07,,,
677,427.25,302.2,1.07,,,
678,427.25,302.2,1.07,,,
679,427.25,302.2,1.07,,,
680,439.45,310.8,1.07,,,
681,427.25,302.2,1.07,,,
682,427.25,302.2,1.07,,,
683,427.25,302.2,1.07,,,
684,439.45,310.8,1.07,,,
685,427.25,302.2,1.07,,,
686,439.45,310.8,1.07,,,
687,427.25,302.2,1.07,,,
688,439.45,310.8,1.07,,,
689,427.25,302.2,1.07,,,
690,451.66,319.4,1.07,,,
691,427.25,302.2,1.07,,,
692,439.45,310.8,1.07,,,
693,427.25,302.2,1.07,,,
694,439.45,310.8,1.07,,,
695,451.66,319.4,1.07,,,
696,415.04,293.5,1.07,,,
697,439.45,310.8,1.07,,,
698,439.45,310.8,1.07,,,
699,439.45,310.8,1.07,,,
700,439.45,310.8,1.07,,,
701,451.66,319.4,1.07,,,
702,439.45,310.8,1.07,,,
703,439.45,310.8,1.07,,,
704,439.45,310.8,1.07,,,
705,427.25,302.2,1.07,,,
706,439.45,310.8,1.07,,,
707,439.45,310.8,1.07,,,
708,415.04,293.5,1.07,,,
709,427.25,302.2,1.07,,,
710,439.45,310.8,1.07,,,
711,427.25,302.2,1.07,,,
712,439.45,310.8,1.07,,,
713,415.04,293.5,1.07,,,
714,439.45,310.8,1.07,,,
715,415.04,293.5,1.07,,,
716,451.66,319.4,1.07,,,
717,451.66,319.4,1.07,,,
718,427.25,302.2,1.07,,,
719,439.45,310.8,1.07,,,
720,451.66,319.4,1.07,,,
721,427.25,302.2,1.07,,,
722,427.25,302.2,1.07,,,
723,451.66,319.4,1.07,,,
724,427.25,302.2,1.07,,,
725,427.25,302.2,1.07,,,
726,415.04,293.5,1.07,,,
727,415.04,293.5,1.07,,,
728,427.25,302.2,1.07,,,
729,427.25,302.2,1.07,,,
730,427.25,302.2,1.07,,,
731,439.45,310.8,1.07,,,
732,439.45,310.8,1.07,,,
733,427.25,302.2,1.07,,,
734,427.25,302.2,1.07,,,
735,427.25,302.2,1.07,,,
736,439.45,310.8,1.07,,,
737,415.04,293.5,1.07,,,
738,439.45,310.8,1.07,,,
739,427.25,302.2,1.07,,,
740,439.45,310.8,1.07,,,
741,439.45,310.8,1.07,,,
742,439.45,310.8,1.07,,,
743,439.45,310.8,1.07,,,
744,415.04,293.5,1.07,,,
745,427.25,302.2,1.07,,,
746,427.25,302.2,1.07,,,
747,439.45,310.8,1.07,,,
748,415.04,293.5,1.07,,,
749,427.25,302.2,1.07,,,
750,427.25,302.2,1.07,,,
751,427.25,302.2,1.07,,,
752,415.04,293.5,1.07,,,
753,427.25,302.2,1.07,,,
754,415.04,293.5,1.07,,,
755,439.45,310.8,1.07,,,
756,439.45,310.8,1.07,,,
757,463.87,328.1,1.07,,,
758,439.45,310.8,1.07,,,
759,439.45,310.8,1.07,,,
760,427.25,302.2,1.07,,,
761,427.25,302.2,1.07,,,
762,451.66,319.4,1.07,,,
